"Student_ID","Job_Offers","Starting_Salary","Career_Satisfaction","Years_to_Promotion","Current_Job_Level","Work_Life_Balance","Entrepreneurship"
"S00112",3,52600,8,4,"Senior",3,"Yes"
"S00113",2,58300,3,3,"Entry",6,"No"
"S00114",5,47200,5,4,"Mid",7,"No"
"S00115",5,50600,10,3,"Entry",3,"No"
"S00116",4,89100,9,5,"Senior",3,"Yes"
"S00117",4,49500,8,2,"Entry",7,"No"
"S00118",1,56100,6,3,"Entry",10,"No"
"S00119",2,67600,9,5,"Entry",9,"No"
"S00120",0,63600,10,1,"Senior",3,"Yes"
"S00121",1,62500,5,4,"Entry",6,"No"
"S00122",2,54100,2,3,"Senior",5,"No"
"S00123",5,54200,9,2,"Entry",8,"No"
"S00124",0,25000,5,4,"Entry",9,"Yes"
"S00125",5,76000,8,5,"Entry",8,"No"
"S00126",4,41100,8,5,"Entry",1,"No"
"S00127",5,63200,4,5,"Mid",7,"No"
"S00128",1,46500,4,3,"Mid",8,"No"
"S00129",4,96700,1,1,"Entry",5,"Yes"
"S00130",4,37600,5,1,"Entry",4,"No"
"S00131",4,85500,9,5,"Entry",7,"No"
"S00132",2,48100,5,4,"Entry",6,"No"
"S00133",0,61000,5,2,"Entry",2,"No"
"S00134",2,50300,6,4,"Mid",9,"No"
"S00135",4,73800,6,3,"Entry",3,"Yes"
"S00136",1,52000,8,1,"Mid",1,"No"
"S00137",5,54800,1,2,"Mid",3,"No"
"S00138",4,51500,5,5,"Entry",1,"Yes"
"S00139",0,58500,9,5,"Entry",10,"Yes"
"S00140",2,36100,3,3,"Senior",7,"No"
"S00141",0,25000,7,3,"Entry",6,"Yes"
"S00142",2,56900,7,3,"Senior",8,"No"
"S00143",5,82000,10,3,"Mid",4,"No"
"S00144",0,43800,3,5,"Mid",6,"No"
"S00145",0,61500,7,5,"Mid",3,"Yes"
"S00146",2,27800,3,3,"Entry",4,"No"
"S00147",2,41700,6,5,"Entry",6,"No"
"S00148",2,50700,8,3,"Senior",5,"No"
"S00149",3,49600,8,2,"Mid",2,"No"
"S00150",5,66800,6,3,"Mid",9,"No"
"S00151",0,25000,2,3,"Entry",2,"No"
"S00152",3,47500,1,2,"Entry",8,"No"
"S00153",3,40600,3,1,"Senior",5,"No"
"S00154",4,36300,3,4,"Entry",7,"No"
"S00155",3,39000,7,3,"Senior",6,"Yes"
"S00156",3,54100,4,2,"Entry",2,"No"
"S00157",2,52200,2,2,"Mid",4,"Yes"
"S00158",2,47100,2,5,"Entry",9,"Yes"
"S00159",1,29700,7,3,"Mid",7,"No"
"S00160",5,46000,8,2,"Entry",1,"No"
"S00161",0,66900,5,1,"Mid",4,"No"
"S00162",5,25400,2,1,"Senior",10,"No"
"S00163",3,39300,3,4,"Entry",3,"Yes"
"S00164",3,32800,1,5,"Entry",1,"No"
"S00165",0,33400,10,5,"Entry",5,"No"
"S00166",5,46400,4,5,"Mid",9,"No"
"S00167",2,40400,7,3,"Entry",4,"No"
"S00168",2,37100,10,1,"Entry",2,"No"
"S00169",0,50300,9,3,"Entry",7,"No"
"S00170",0,26500,3,2,"Entry",8,"Yes"
"S00171",2,79900,4,4,"Entry",2,"No"
"S00172",0,41500,6,4,"Entry",10,"No"
"S00173",5,44400,1,3,"Entry",9,"No"
"S00174",2,44900,5,4,"Entry",10,"No"
"S00175",0,35500,10,3,"Mid",8,"No"
"S00176",2,68800,5,5,"Entry",4,"No"
"S00177",1,53900,10,2,"Entry",4,"No"
"S00178",2,25000,9,5,"Mid",5,"No"
"S00179",2,31400,9,4,"Mid",1,"No"
"S00180",3,40300,1,2,"Entry",7,"No"
"S00181",5,59500,3,1,"Mid",4,"No"
"S00182",2,67900,4,3,"Executive",1,"No"
"S00183",0,48000,1,2,"Executive",4,"No"
"S00184",4,73800,9,3,"Mid",4,"Yes"
"S00185",0,61600,2,2,"Entry",1,"Yes"
"S00186",3,82200,5,4,"Entry",9,"No"
"S00187",0,41600,3,5,"Entry",8,"No"
"S00188",1,43900,4,4,"Entry",9,"No"
"S00189",4,53200,4,1,"Senior",7,"No"
"S00190",4,38900,2,4,"Entry",5,"No"
"S00191",5,61700,2,2,"Mid",7,"No"
"S00192",3,31500,8,1,"Entry",2,"No"
"S00193",5,27800,2,2,"Entry",10,"No"
"S00194",4,49200,10,5,"Executive",7,"No"
"S00195",2,72200,7,3,"Entry",4,"No"
"S00196",3,57400,1,5,"Entry",5,"Yes"
"S00197",5,62200,1,5,"Mid",7,"No"
"S00198",1,75000,10,5,"Mid",2,"Yes"
"S00199",4,56500,3,2,"Entry",5,"Yes"
"S00200",4,44800,3,3,"Mid",2,"No"
"S00201",3,71800,9,2,"Entry",10,"No"
"S00202",4,64500,2,1,"Entry",6,"No"
"S00203",4,39000,4,2,"Entry",10,"No"
"S00204",1,37300,3,5,"Mid",8,"Yes"
"S00205",1,49200,7,4,"Entry",7,"Yes"
"S00206",3,63500,6,4,"Senior",5,"No"
"S00207",4,35400,9,2,"Mid",3,"No"
"S00208",5,52000,8,5,"Senior",4,"No"
"S00209",0,63600,2,5,"Mid",2,"No"
"S00210",3,46300,3,4,"Entry",6,"No"
"S00211",5,54200,1,3,"Entry",8,"No"
"S00212",1,57300,8,3,"Mid",8,"No"
"S00213",0,61300,2,5,"Entry",9,"No"
"S00214",5,51200,4,1,"Mid",5,"No"
"S00215",5,48100,2,1,"Entry",10,"No"
"S00216",4,65200,2,1,"Mid",6,"No"
"S00217",3,25000,3,1,"Senior",2,"No"
"S00218",3,62900,10,1,"Entry",10,"No"
"S00219",1,58800,5,4,"Mid",4,"No"
"S00220",2,72900,8,5,"Entry",3,"No"
"S00221",2,58600,10,2,"Entry",9,"No"
"S00222",2,34400,2,4,"Entry",6,"No"
"S00223",3,51500,5,4,"Entry",6,"No"
"S00224",1,35300,4,5,"Mid",4,"No"
"S00225",1,67200,3,3,"Mid",6,"No"
"S00226",2,25000,10,4,"Entry",1,"No"
"S00227",0,26000,6,4,"Entry",9,"No"
"S00228",2,32000,9,2,"Entry",3,"No"
"S00229",3,25600,8,1,"Executive",5,"No"
"S00230",0,45100,2,4,"Mid",7,"No"
"S00231",1,43700,1,1,"Senior",2,"Yes"
"S00232",4,62400,8,5,"Mid",4,"No"
"S00233",5,25000,5,4,"Entry",6,"No"
"S00234",0,42000,2,2,"Mid",1,"Yes"
"S00235",1,53900,10,2,"Mid",6,"No"
"S00236",0,36000,1,5,"Entry",5,"Yes"
"S00237",2,25200,8,1,"Entry",2,"No"
"S00238",0,60600,8,3,"Mid",6,"No"
"S00239",0,58500,6,5,"Mid",5,"No"
"S00240",0,25000,5,3,"Entry",1,"No"
"S00241",3,43600,5,2,"Senior",6,"No"
"S00242",5,40800,6,2,"Mid",7,"No"
"S00243",3,77200,5,4,"Mid",9,"No"
"S00244",5,25000,2,2,"Mid",2,"No"
"S00245",2,43300,7,1,"Entry",6,"Yes"
"S00246",4,61400,4,2,"Senior",6,"No"
"S00247",3,48200,7,4,"Entry",1,"No"
"S00248",4,66100,1,5,"Entry",8,"No"
"S00249",3,25000,6,4,"Senior",5,"No"
"S00250",1,30700,2,5,"Entry",2,"No"
"S00251",1,45300,3,4,"Senior",5,"Yes"
"S00252",0,57300,3,2,"Entry",4,"No"
"S00253",4,50100,10,3,"Mid",7,"No"
"S00254",0,59200,1,1,"Entry",10,"Yes"
"S00255",5,44900,5,3,"Mid",8,"No"
"S00256",0,30400,8,1,"Entry",1,"No"
"S00257",3,58300,8,2,"Senior",1,"No"
"S00258",3,27000,10,4,"Entry",8,"No"
"S00259",0,35500,7,4,"Entry",4,"No"
"S00260",5,29500,7,5,"Entry",8,"No"
"S00261",3,52700,8,3,"Executive",7,"No"
"S00262",5,48800,8,1,"Senior",9,"No"
"S00263",1,32900,5,4,"Entry",7,"No"
"S00264",1,38100,7,2,"Senior",4,"No"
"S00265",4,44700,2,4,"Senior",5,"Yes"
"S00266",1,59500,4,5,"Mid",7,"Yes"
"S00267",5,50400,6,4,"Entry",2,"No"
"S00268",0,54300,10,2,"Entry",3,"No"
"S00269",2,56500,3,4,"Entry",3,"No"
"S00270",3,49700,2,1,"Entry",9,"No"
"S00271",0,53200,1,1,"Senior",2,"No"
"S00272",3,47900,4,4,"Entry",4,"No"
"S00273",4,72100,2,2,"Senior",8,"No"
"S00274",0,57900,3,2,"Senior",1,"Yes"
"S00275",0,77500,10,4,"Senior",9,"No"
"S00276",0,69000,6,2,"Mid",6,"No"
"S00277",4,47000,10,1,"Mid",4,"No"
"S00278",0,47000,3,1,"Senior",5,"No"
"S00279",3,25100,3,1,"Entry",7,"No"
"S00280",2,33400,4,5,"Mid",8,"No"
"S00281",0,65100,3,3,"Mid",5,"No"
"S00282",4,64400,6,1,"Entry",7,"No"
"S00283",4,25000,9,4,"Mid",3,"Yes"
"S00284",0,69700,8,5,"Entry",2,"No"
"S00285",4,67800,2,4,"Senior",2,"No"
"S00286",1,66800,3,2,"Mid",10,"No"
"S00287",5,57700,8,3,"Mid",3,"Yes"
"S00288",4,57600,3,5,"Mid",6,"No"
"S00289",2,47200,5,2,"Entry",10,"No"
"S00290",1,40500,9,2,"Mid",1,"No"
"S00291",3,67000,2,1,"Mid",3,"No"
"S00292",1,46100,9,4,"Entry",3,"No"
"S00293",2,25000,10,2,"Entry",2,"Yes"
"S00294",5,59300,5,2,"Senior",1,"Yes"
"S00295",1,34200,9,2,"Mid",1,"No"
"S00296",0,52300,4,3,"Mid",1,"Yes"
"S00297",4,74900,8,5,"Entry",8,"No"
"S00298",0,81500,8,1,"Mid",6,"Yes"
"S00299",0,60400,3,5,"Mid",9,"No"
"S00300",0,69700,5,2,"Entry",3,"No"
"S00301",1,61200,10,3,"Entry",7,"No"
"S00302",3,62100,1,2,"Entry",6,"No"
"S00303",5,63800,6,4,"Mid",9,"Yes"
"S00304",4,34000,9,5,"Mid",9,"No"
"S00305",1,30800,1,1,"Entry",9,"No"
"S00306",5,65200,2,3,"Entry",7,"No"
"S00307",0,54600,7,5,"Mid",9,"Yes"
"S00308",2,52400,6,2,"Entry",7,"No"
"S00309",2,42900,10,1,"Entry",9,"No"
"S00310",0,44600,3,3,"Mid",2,"No"
"S00311",3,68900,2,2,"Mid",2,"Yes"
"S00312",5,37300,7,2,"Mid",7,"No"
"S00313",4,50200,10,5,"Mid",10,"No"
"S00314",5,38200,10,2,"Mid",6,"No"
"S00315",1,26700,5,2,"Senior",6,"No"
"S00316",3,51600,6,3,"Senior",5,"No"
"S00317",2,61100,9,2,"Mid",1,"Yes"
"S00318",0,34100,7,4,"Mid",7,"Yes"
"S00319",1,39300,4,4,"Executive",2,"Yes"
"S00320",3,32200,9,1,"Entry",8,"No"
"S00321",5,52000,3,4,"Entry",10,"No"
"S00322",3,42700,4,4,"Senior",7,"No"
"S00323",3,25000,10,5,"Senior",2,"Yes"
"S00324",5,44700,3,4,"Senior",2,"No"
"S00325",1,65600,10,2,"Senior",10,"Yes"
"S00326",4,67400,3,5,"Entry",8,"No"
"S00327",5,68100,1,4,"Senior",5,"No"
"S00328",1,35100,5,2,"Entry",8,"Yes"
"S00329",5,32200,4,1,"Senior",1,"No"
"S00330",0,40300,9,5,"Mid",9,"No"
"S00331",1,64600,4,2,"Entry",8,"No"
"S00332",3,64100,3,5,"Mid",6,"No"
"S00333",4,50000,6,1,"Entry",8,"No"
"S00334",4,66800,10,1,"Entry",1,"No"
"S00335",0,59100,5,5,"Entry",8,"No"
"S00336",0,42800,4,2,"Entry",1,"No"
"S00337",2,44800,1,3,"Mid",4,"No"
"S00338",2,31000,3,5,"Entry",10,"No"
"S00339",2,48100,4,3,"Executive",3,"No"
"S00340",1,40900,10,2,"Entry",3,"No"
"S00341",4,35000,8,4,"Senior",10,"No"
"S00342",0,39000,9,5,"Executive",9,"Yes"
"S00343",2,72400,8,1,"Entry",8,"Yes"
"S00344",0,43100,9,4,"Entry",10,"No"
"S00345",2,73700,10,2,"Entry",8,"No"
"S00346",1,50900,1,1,"Senior",7,"No"
"S00347",5,46600,1,5,"Senior",8,"No"
"S00348",1,57800,3,2,"Entry",8,"No"
"S00349",3,25000,4,5,"Entry",10,"Yes"
"S00350",0,81200,2,4,"Senior",6,"No"
"S00351",5,64300,10,5,"Mid",8,"No"
"S00352",5,53100,7,1,"Entry",2,"No"
"S00353",3,62200,9,5,"Senior",7,"No"
"S00354",5,50800,6,4,"Executive",3,"Yes"
"S00355",1,40900,4,4,"Entry",8,"No"
"S00356",5,49600,6,1,"Entry",5,"No"
"S00357",1,43700,1,3,"Senior",5,"No"
"S00358",5,36500,6,3,"Mid",3,"No"
"S00359",5,44100,4,5,"Executive",1,"Yes"
"S00360",0,53200,3,4,"Senior",2,"Yes"
"S00361",3,55300,6,2,"Entry",2,"Yes"
"S00362",5,71200,9,2,"Mid",7,"Yes"
"S00363",5,45400,8,4,"Mid",2,"No"
"S00364",3,39400,8,2,"Entry",7,"No"
"S00365",3,31100,9,1,"Entry",1,"Yes"
"S00366",0,56600,6,5,"Mid",2,"No"
"S00367",0,71900,8,4,"Entry",7,"No"
"S00368",0,44100,7,5,"Mid",7,"Yes"
"S00369",4,41600,1,1,"Entry",2,"No"
"S00370",5,63000,6,2,"Mid",10,"No"
"S00371",1,34000,4,4,"Entry",7,"No"
"S00372",4,74300,3,1,"Senior",9,"No"
"S00373",4,48900,3,1,"Entry",8,"Yes"
"S00374",1,55600,10,5,"Senior",6,"No"
"S00375",5,50600,8,4,"Entry",4,"No"
"S00376",2,25000,1,5,"Mid",3,"No"
"S00377",2,49000,7,5,"Entry",8,"No"
"S00378",2,44300,10,1,"Senior",3,"No"
"S00379",0,55800,4,5,"Senior",5,"No"
"S00380",0,67100,1,2,"Senior",3,"No"
"S00381",3,57400,2,2,"Mid",9,"No"
"S00382",3,40000,7,1,"Entry",7,"No"
"S00383",4,74700,10,5,"Mid",3,"No"
"S00384",3,50700,1,2,"Executive",10,"No"
"S00385",0,69200,6,3,"Mid",7,"No"
"S00386",4,63200,4,3,"Executive",4,"No"
"S00387",3,35100,3,5,"Entry",1,"Yes"
"S00388",3,65900,7,1,"Senior",4,"No"
"S00389",2,63000,9,2,"Mid",10,"Yes"
"S00390",0,51200,5,4,"Senior",8,"Yes"
"S00391",4,43300,6,4,"Mid",6,"No"
"S00392",1,62200,7,2,"Entry",1,"No"
"S00393",5,64900,10,5,"Mid",1,"No"
"S00394",3,43900,6,3,"Senior",4,"No"
"S00395",0,59100,6,3,"Entry",6,"No"
"S00396",4,45000,3,2,"Executive",4,"No"
"S00397",5,41800,3,3,"Entry",9,"No"
"S00398",0,56500,5,2,"Entry",2,"No"
"S00399",0,61800,7,1,"Entry",6,"No"
"S00400",4,57800,6,3,"Senior",7,"No"
"S00401",2,47900,2,5,"Entry",4,"No"
"S00402",5,32800,3,3,"Mid",5,"No"
"S00403",2,45400,5,2,"Mid",5,"Yes"
"S00404",3,55600,7,4,"Entry",2,"Yes"
"S00405",2,82300,6,3,"Entry",5,"No"
"S00406",3,35400,10,2,"Entry",10,"No"
"S00407",3,48300,3,3,"Mid",5,"Yes"
"S00408",4,47600,7,3,"Entry",5,"No"
"S00409",0,25000,5,3,"Entry",4,"No"
"S00410",1,41100,10,4,"Executive",10,"No"
"S00411",1,32100,4,2,"Senior",4,"No"
"S00412",2,44000,6,1,"Mid",7,"Yes"
"S00413",4,72600,2,5,"Mid",6,"No"
"S00414",1,59800,7,4,"Entry",8,"No"
"S00415",0,52600,2,5,"Mid",1,"No"
"S00416",3,79200,7,5,"Executive",10,"No"
"S00417",3,71100,8,1,"Senior",2,"Yes"
"S00418",4,38000,2,3,"Entry",2,"No"
"S00419",2,25000,8,1,"Entry",2,"No"
"S00420",0,25000,7,5,"Executive",3,"No"
"S00421",2,36800,3,4,"Entry",6,"No"
"S00422",2,41500,7,5,"Mid",3,"No"
"S00423",4,73200,1,5,"Entry",7,"No"
"S00424",3,68000,2,1,"Senior",3,"No"
"S00425",2,63800,5,2,"Entry",6,"Yes"
"S00426",2,42400,9,5,"Mid",2,"No"
"S00427",0,47200,1,2,"Entry",2,"No"
"S00428",5,43900,5,3,"Entry",3,"No"
"S00429",3,83100,6,5,"Mid",8,"No"
"S00430",2,40600,3,1,"Entry",9,"No"
"S00431",5,38100,5,3,"Entry",2,"No"
"S00432",1,58500,2,4,"Entry",7,"Yes"
"S00433",5,35600,8,5,"Entry",1,"No"
"S00434",1,58400,3,1,"Executive",4,"No"
"S00435",3,54300,5,5,"Entry",6,"No"
"S00436",3,38900,1,1,"Senior",7,"No"
"S00437",4,44800,5,1,"Entry",3,"Yes"
"S00438",5,37300,1,2,"Entry",3,"No"
"S00439",2,65200,9,5,"Mid",5,"No"
"S00440",1,47800,2,1,"Entry",3,"No"
"S00441",5,46800,6,1,"Mid",9,"No"
"S00442",1,62100,9,3,"Entry",2,"No"
"S00443",3,60100,3,5,"Mid",10,"No"
"S00444",3,53500,6,3,"Senior",7,"No"
"S00445",0,65700,1,2,"Executive",7,"Yes"
"S00446",0,47700,7,2,"Mid",3,"No"
"S00447",3,36600,2,1,"Mid",8,"Yes"
"S00448",0,52200,5,1,"Entry",3,"No"
"S00449",3,49500,5,1,"Mid",5,"Yes"
"S00450",5,71500,1,5,"Executive",1,"No"
"S00451",3,46000,7,5,"Entry",10,"No"
"S00452",4,73900,4,4,"Mid",4,"No"
"S00453",0,31800,4,1,"Mid",2,"Yes"
"S00454",2,46500,7,3,"Mid",5,"No"
"S00455",2,45300,10,4,"Mid",4,"No"
"S00456",5,45200,1,5,"Entry",4,"Yes"
"S00457",4,67100,6,5,"Mid",4,"No"
"S00458",2,43000,1,1,"Entry",5,"No"
"S00459",2,64900,6,3,"Mid",9,"No"
"S00460",5,48700,10,3,"Entry",9,"No"
"S00461",5,48500,2,2,"Senior",4,"No"
"S00462",4,29900,10,1,"Senior",9,"No"
"S00463",1,68800,1,5,"Mid",8,"Yes"
"S00464",4,73000,8,1,"Entry",5,"Yes"
"S00465",4,31300,7,1,"Senior",8,"No"
"S00466",0,74200,2,2,"Senior",7,"No"
"S00467",2,28300,2,2,"Mid",2,"No"
"S00468",2,47500,5,4,"Executive",10,"No"
"S00469",1,48500,4,1,"Entry",8,"No"
"S00470",4,45500,4,5,"Mid",9,"No"
"S00471",3,66300,9,2,"Mid",2,"No"
"S00472",1,61200,1,4,"Entry",2,"No"
"S00473",1,25000,10,4,"Mid",10,"No"
"S00474",2,72100,9,4,"Mid",9,"No"
"S00475",2,75100,3,5,"Entry",1,"Yes"
"S00476",2,60200,8,2,"Mid",3,"No"
"S00477",2,44800,5,3,"Entry",3,"No"
"S00478",1,53300,10,5,"Mid",6,"No"
"S00479",5,45700,3,1,"Mid",7,"No"
"S00480",4,64700,9,3,"Entry",3,"No"
"S00481",5,25000,9,5,"Mid",8,"Yes"
"S00482",5,56000,8,2,"Entry",2,"Yes"
"S00483",2,67300,3,4,"Mid",3,"No"
"S00484",0,46300,3,5,"Entry",10,"No"
"S00485",1,58300,10,1,"Entry",2,"No"
"S00486",3,25000,10,1,"Entry",2,"No"
"S00487",3,35700,3,1,"Senior",6,"Yes"
"S00488",4,55900,6,3,"Entry",3,"No"
"S00489",1,56800,2,4,"Entry",3,"No"
"S00490",1,41300,9,5,"Entry",9,"No"
"S00491",1,54600,2,3,"Entry",1,"No"
"S00492",5,49200,10,5,"Entry",9,"No"
"S00493",0,25000,8,2,"Entry",2,"No"
"S00494",0,46500,10,2,"Entry",2,"No"
"S00495",5,60900,4,5,"Entry",5,"No"
"S00496",2,69900,4,3,"Entry",6,"No"
"S00497",5,46400,5,1,"Entry",8,"Yes"
"S00498",3,55800,1,3,"Mid",1,"Yes"
"S00499",5,52600,4,3,"Mid",5,"No"
"S00500",0,58000,6,5,"Mid",10,"No"
"S00501",3,40300,10,3,"Mid",8,"No"
"S00502",5,48900,2,2,"Entry",2,"Yes"
"S00503",1,58200,3,5,"Mid",10,"No"
"S00504",0,56000,4,5,"Senior",9,"No"
"S00505",3,59100,3,5,"Mid",10,"No"
"S00506",0,62000,9,3,"Entry",4,"Yes"
"S00507",1,52400,6,4,"Mid",7,"No"
"S00508",1,54500,5,1,"Mid",1,"Yes"
"S00509",1,41500,5,1,"Entry",2,"No"
"S00510",2,62900,2,2,"Mid",1,"No"
"S00511",5,33800,9,5,"Mid",8,"No"
"S00512",3,59300,2,1,"Entry",1,"No"
"S00513",2,52000,5,3,"Entry",9,"Yes"
"S00514",4,39300,7,3,"Senior",7,"No"
"S00515",4,39900,3,3,"Mid",5,"No"
"S00516",0,53200,8,2,"Entry",1,"No"
"S00517",0,46300,5,5,"Mid",4,"No"
"S00518",0,43600,10,1,"Senior",3,"No"
"S00519",2,56300,3,5,"Senior",7,"Yes"
"S00520",5,25000,3,5,"Entry",1,"No"
"S00521",1,51400,3,3,"Mid",10,"No"
"S00522",0,44400,3,1,"Mid",4,"No"
"S00523",0,31600,4,2,"Mid",5,"No"
"S00524",5,44900,10,5,"Mid",3,"No"
"S00525",4,30300,1,4,"Entry",5,"Yes"
"S00526",1,67700,3,3,"Senior",4,"No"
"S00527",2,60800,10,4,"Senior",5,"Yes"
"S00528",5,62400,10,2,"Entry",9,"No"
"S00529",1,57700,5,2,"Entry",8,"No"
"S00530",4,25000,8,2,"Mid",8,"Yes"
"S00531",2,32300,8,2,"Entry",2,"Yes"
"S00532",3,63400,9,1,"Mid",3,"No"
"S00533",0,79600,9,4,"Entry",4,"No"
"S00534",2,55600,6,3,"Entry",10,"No"
"S00535",4,70800,10,4,"Senior",1,"No"
"S00536",1,37800,7,1,"Mid",9,"No"
"S00537",2,40600,4,5,"Entry",2,"Yes"
"S00538",4,60000,3,2,"Mid",2,"Yes"
"S00539",5,38000,3,5,"Mid",8,"No"
"S00540",2,25800,2,2,"Entry",10,"No"
"S00541",0,61200,8,3,"Executive",9,"No"
"S00542",5,39200,7,2,"Entry",1,"No"
"S00543",1,25000,8,2,"Senior",2,"Yes"
"S00544",5,67400,6,5,"Entry",10,"No"
"S00545",1,57600,10,5,"Mid",5,"No"
