"Student_ID","High_School_GPA","SAT_Score","University_Ranking","University_GPA","Field_of_Study"
"S00069",3.24,1253,913,2.68,"Law"
"S00070",2.23,948,802,2.7,"Law"
"S00071",2.31,1363,236,2.24,"Medicine"
"S00072",2.87,1255,291,2.29,"Law"
"S00073",2.79,1057,39,2.37,"Medicine"
"S00074",3.49,965,998,2.66,"Engineering"
"S00075",3.16,1470,718,3.78,"Mathematics"
"S00076",2.78,1207,183,2.74,"Engineering"
"S00077",2.34,1236,699,3.45,"Mathematics"
"S00078",2.45,1570,645,2.17,"Mathematics"
"S00079",3.15,1020,30,3.18,"Computer Science"
"S00080",2.85,1303,388,2.96,"Business"
"S00081",3.03,1546,767,3.96,"Medicine"
"S00082",2.34,1467,143,3.69,"Mathematics"
"S00083",3.33,995,615,2.91,"Computer Science"
"S00084",3.71,1013,419,3.55,"Arts"
"S00085",2.52,1328,74,2.39,"Computer Science"
"S00086",2.98,1439,55,3.12,"Engineering"
"S00087",3.95,901,962,2.15,"Arts"
"S00088",2.67,1111,748,2.7,"Computer Science"
"S00089",3.19,1479,572,2.45,"Law"
"S00090",2.18,1539,24,3.44,"Business"
"S00091",3.21,1232,988,2.98,"Medicine"
"S00092",2.18,923,22,3.5,"Law"
"S00093",3.92,1267,428,3.03,"Arts"
"S00094",3.43,1405,32,2.17,"Mathematics"
"S00095",3.58,1075,863,3.47,"Business"
"S00096",3.41,1328,339,3.67,"Mathematics"
"S00097",3.18,1341,947,3.81,"Computer Science"
"S00098",2.9,1447,981,3.14,"Law"
"S00099",3.72,1413,515,3.51,"Engineering"
"S00100",3.91,1260,512,3.5,"Engineering"
"S00101",3,1173,70,2.31,"Business"
"S00102",3.86,1076,672,2.33,"Engineering"
"S00103",3.17,1163,898,2.14,"Medicine"
"S00104",3.08,1085,88,2.64,"Mathematics"
"S00105",2.91,1426,877,2.95,"Business"
"S00106",2.42,1178,571,4,"Business"
"S00107",2.01,1097,764,2.86,"Engineering"
"S00108",2.48,1248,219,3.45,"Business"
"S00109",3.02,1320,713,3.39,"Computer Science"
"S00110",2.76,1204,589,2.41,"Arts"
"S00111",2.9,963,767,2.12,"Law"
"S00112",3.96,1189,759,3.09,"Arts"
"S00113",2.7,917,270,3.4,"Mathematics"
"S00114",2.9,963,819,4,"Law"
"S00115",2.27,1229,651,2.72,"Engineering"
"S00116",2.1,916,78,3.79,"Medicine"
"S00117",3.55,1342,592,2.76,"Medicine"
"S00118",3.14,1040,10,3.38,"Engineering"
"S00119",3.52,1207,468,3.2,"Mathematics"
"S00120",2.3,1343,336,2.11,"Engineering"
"S00121",3.14,1395,636,2.16,"Business"
"S00122",2.51,1325,186,2.04,"Medicine"
"S00123",2.46,1374,546,2.74,"Arts"
"S00124",2.02,1144,121,3.49,"Engineering"
"S00125",2.26,1349,592,2.35,"Mathematics"
"S00126",2.62,1250,718,3.21,"Mathematics"
"S00127",2.23,1498,565,2.58,"Arts"
"S00128",3.97,1060,668,3.59,"Law"
"S00129",2.62,1039,274,3.6,"Arts"
"S00130",2.26,1392,410,3.55,"Mathematics"
"S00131",2.4,1487,358,3.05,"Medicine"
"S00132",3.18,1430,647,2.57,"Law"
"S00133",2.13,1292,941,3.62,"Arts"
"S00134",3.72,1300,98,2.37,"Business"
"S00135",3.92,949,241,2.58,"Business"
"S00136",2.49,1194,557,2.37,"Medicine"
"S00137",2.9,1324,711,3.35,"Business"
"S00138",2.04,911,993,3.37,"Engineering"
"S00139",3.28,1234,803,3.31,"Law"
"S00140",2.83,914,948,2.83,"Medicine"
"S00141",2.54,927,114,2.2,"Law"
"S00142",2.41,1287,487,3.82,"Mathematics"
"S00143",3.31,1191,789,3.02,"Arts"
"S00144",2.83,1149,241,2.81,"Engineering"
"S00145",2.36,1404,156,3.18,"Medicine"
"S00146",3.38,997,352,2.39,"Arts"
"S00147",3.13,1236,44,2.27,"Arts"
"S00148",3.72,938,592,2.81,"Arts"
"S00149",2.23,937,312,2.45,"Arts"
"S00150",3.57,1199,138,2.49,"Arts"
"S00151",3.35,1078,663,3.79,"Medicine"
"S00152",2.23,1508,944,3.06,"Business"
"S00153",3.39,1368,436,2.97,"Arts"
"S00154",2.88,1181,754,3.38,"Mathematics"
"S00155",3.89,1063,143,3.9,"Mathematics"
"S00156",2.28,1352,823,2.22,"Engineering"
"S00157",3.29,996,299,3.67,"Medicine"
"S00158",2.76,1208,562,3.17,"Computer Science"
"S00159",3.91,1161,262,2.29,"Business"
"S00160",2.66,1192,512,2.59,"Engineering"
"S00161",3.92,1148,673,2.96,"Mathematics"
"S00162",3.8,1144,62,3.38,"Arts"
"S00163",2.54,1150,567,2.49,"Medicine"
"S00164",3.61,1022,423,3.07,"Medicine"
"S00165",3.99,1224,396,3.37,"Arts"
"S00166",2.51,1580,884,2.9,"Mathematics"
"S00167",2.87,1400,996,3.73,"Engineering"
"S00168",3.04,1586,31,3.74,"Medicine"
"S00169",2.59,965,330,2.94,"Law"
"S00170",2.03,958,949,3.95,"Mathematics"
"S00171",2.44,1397,802,2.15,"Mathematics"
"S00172",2.56,1272,169,2.01,"Business"
"S00173",2.89,1165,266,2.76,"Engineering"
"S00174",2.34,1552,308,3.2,"Mathematics"
"S00175",3.75,1135,459,3.26,"Arts"
"S00176",3.41,1117,185,2.95,"Mathematics"
"S00177",2.17,1426,334,2.25,"Engineering"
"S00178",3.3,1340,515,2.34,"Law"
"S00179",3.31,1549,441,3.7,"Mathematics"
"S00180",3.91,1305,673,3.74,"Engineering"
"S00181",2.01,1500,391,3.35,"Mathematics"
"S00182",2.5,1488,772,3.33,"Computer Science"
"S00183",3.86,1547,935,3.2,"Arts"
"S00184",3.86,1368,560,2.41,"Business"
"S00185",3.44,1009,254,2.86,"Arts"
"S00186",3.53,1252,586,3.39,"Computer Science"
"S00187",2.18,990,335,3.07,"Arts"
"S00188",3.03,1313,400,2.04,"Arts"
"S00189",2.46,972,166,3.91,"Business"
"S00190",2.36,1584,260,3.69,"Computer Science"
"S00191",3.62,1446,4,2.52,"Arts"
"S00192",2.27,1197,888,3.23,"Law"
"S00193",2.94,1544,119,3.85,"Mathematics"
"S00194",3.88,1182,996,2.19,"Arts"
"S00195",2.37,1404,923,3.01,"Medicine"
"S00196",3.96,1097,470,2.91,"Arts"
"S00197",3.99,931,470,2.82,"Business"
"S00198",3.11,1547,785,3.67,"Medicine"
"S00199",2.34,1240,493,2.76,"Law"
"S00200",2.63,1557,738,2.13,"Mathematics"
"S00201",2.85,1233,864,2.13,"Law"
"S00202",2.62,1042,500,2.09,"Law"
"S00203",2.56,1309,70,2.82,"Computer Science"
"S00204",3.94,943,694,3.44,"Law"
"S00205",2.31,931,865,2.41,"Engineering"
"S00206",3.47,927,776,3.29,"Business"
"S00207",2,1322,370,3.37,"Computer Science"
"S00208",3.19,1390,181,2.51,"Medicine"
"S00209",3.83,1059,996,3.2,"Engineering"
"S00210",2.58,1106,5,3.37,"Computer Science"
"S00211",2.37,917,197,2.93,"Business"
"S00212",3.3,1002,47,2.67,"Medicine"
"S00213",3.43,1481,970,3.24,"Business"
"S00214",3.38,1530,552,3.96,"Business"
"S00215",2.64,1550,634,2.85,"Medicine"
"S00216",2.5,1571,647,2.78,"Law"
"S00217",3.91,1131,140,2.93,"Arts"
"S00218",3.85,1559,862,2.15,"Business"
"S00219",2.91,1323,665,3.11,"Law"
"S00220",3.69,1446,540,2.66,"Mathematics"
"S00221",2.9,1138,427,2.24,"Medicine"
"S00222",2.85,1233,589,2.93,"Business"
"S00223",2.31,1048,687,2.01,"Arts"
"S00224",2.85,1522,561,2.8,"Mathematics"
"S00225",3.07,1307,854,2.21,"Medicine"
"S00226",2.05,916,310,2.05,"Computer Science"
"S00227",2.89,1125,274,3.65,"Computer Science"
"S00228",3.56,1551,539,3.83,"Law"
"S00229",3.36,1555,840,2.42,"Computer Science"
"S00230",3.27,1159,390,3.08,"Engineering"
"S00231",3.82,1573,459,2.56,"Business"
"S00232",2.04,1503,733,2.99,"Business"
"S00233",3.11,1073,634,2.87,"Medicine"
"S00234",3.57,1104,361,2.54,"Engineering"
"S00235",3.08,1314,69,3.4,"Business"
"S00236",2.65,1407,583,2.25,"Medicine"
"S00237",2.27,1052,662,2.11,"Arts"
"S00238",3.78,1002,699,3.54,"Business"
"S00239",2.94,964,431,3.33,"Law"
"S00240",3.76,1016,885,3,"Business"
"S00241",3.17,1564,758,2.94,"Arts"
"S00242",3.35,1055,708,2.99,"Arts"
"S00243",3.61,1575,32,2.87,"Business"
"S00244",3.32,981,979,2.79,"Arts"
"S00245",2.8,1417,621,3,"Medicine"
"S00246",3.03,966,865,3.06,"Business"
"S00247",3.61,1137,513,3.38,"Business"
"S00248",2.75,1483,182,3.42,"Computer Science"
"S00249",2.78,1506,686,2.76,"Law"
"S00250",2.19,1225,681,2.83,"Business"
"S00251",3.83,1489,248,2.75,"Mathematics"
"S00252",2.18,966,620,3.07,"Computer Science"
"S00253",3.3,1075,882,2.91,"Arts"
"S00254",2.83,1583,297,3.78,"Law"
"S00255",2.81,1377,776,3.39,"Law"
"S00256",3.36,1154,928,3.8,"Arts"
"S00257",2.13,962,30,3.42,"Medicine"
"S00258",3.19,1302,302,3.94,"Computer Science"
"S00259",3.54,1091,476,3.27,"Business"
"S00260",3.66,1228,873,3.93,"Computer Science"
"S00261",2.34,970,948,2.32,"Arts"
"S00262",3.79,962,352,2.1,"Arts"
"S00263",3.31,1196,985,3.16,"Mathematics"
"S00264",3.76,1144,482,3.97,"Medicine"
"S00265",2.97,1418,317,2.84,"Law"
"S00266",3.08,1292,737,2.42,"Law"
"S00267",3.84,1500,397,3.04,"Arts"
"S00268",3.8,1076,89,3.3,"Computer Science"
"S00269",2.9,1103,234,2.63,"Law"
"S00270",2.55,1545,168,3.43,"Mathematics"
"S00271",2.79,1493,743,3.95,"Mathematics"
"S00272",2.78,1432,126,3.79,"Business"
"S00273",2.57,1027,573,2.58,"Business"
"S00274",2.54,1094,120,2.65,"Computer Science"
"S00275",3.72,1093,428,2.74,"Medicine"
"S00276",2.14,1083,190,2.79,"Business"
"S00277",3.36,1146,633,2.2,"Computer Science"
"S00278",2.35,1223,428,3.52,"Computer Science"
"S00279",2.69,1059,560,2.73,"Arts"
"S00280",2.12,1521,202,3.76,"Law"
"S00281",2.54,965,59,3.85,"Arts"
"S00282",3.54,1153,697,2.05,"Law"
"S00283",3.77,1182,223,3.98,"Medicine"
"S00284",2.44,959,492,3.42,"Medicine"
"S00285",2.93,1017,11,3.04,"Medicine"
"S00286",2.94,1322,793,2.78,"Computer Science"
"S00287",3.75,1455,701,3.04,"Computer Science"
"S00288",3.53,935,512,2.65,"Arts"
"S00289",3.03,1430,814,3.25,"Business"
"S00290",3.34,990,310,2.19,"Mathematics"
"S00291",3.69,1200,749,3.24,"Law"
"S00292",2.02,1116,34,2.55,"Law"
"S00293",2.81,997,340,2.04,"Medicine"
"S00294",3.81,1355,647,3.11,"Law"
"S00295",3.48,1430,481,3.16,"Engineering"
"S00296",3.09,1437,574,2.85,"Medicine"
"S00297",3.06,927,825,2.14,"Mathematics"
"S00298",2.7,1475,739,3.79,"Law"
"S00299",3.04,1223,93,3.22,"Arts"
"S00300",3.31,1122,628,2.23,"Law"
"S00301",2.84,979,844,3.02,"Computer Science"
"S00302",3.43,1462,133,2.99,"Arts"
"S00303",3.72,1357,844,2.12,"Arts"
"S00304",2.31,1513,989,3.21,"Arts"
"S00305",2.9,1075,419,3.62,"Engineering"
"S00306",2.82,1421,468,3.5,"Engineering"
"S00307",3.37,1356,805,2.41,"Law"
"S00308",2.5,1322,444,3.72,"Medicine"
"S00309",3.28,999,705,2.69,"Law"
"S00310",3.75,1302,912,3.89,"Law"
"S00311",2.84,1475,30,2.14,"Law"
"S00312",3.82,1279,969,2.97,"Mathematics"
"S00313",3.99,1430,298,3.19,"Computer Science"
"S00314",2.21,1231,61,2.5,"Arts"
"S00315",2.47,1217,458,3.54,"Business"
"S00316",3.9,1552,973,3.25,"Mathematics"
"S00317",3.92,1436,304,2.04,"Medicine"
"S00318",2.2,988,958,3.22,"Medicine"
"S00319",2.03,1503,340,2.98,"Arts"
"S00320",2.32,1410,861,2.39,"Medicine"
"S00321",3.99,941,448,3.99,"Arts"
"S00322",2.36,1288,953,3.79,"Medicine"
"S00323",3.01,980,836,2.59,"Law"
"S00324",3.7,1301,302,3.08,"Computer Science"
"S00325",2.04,1006,881,2.63,"Mathematics"
"S00326",3.21,1010,540,3.55,"Mathematics"
"S00327",2.55,1176,485,3.86,"Medicine"
"S00328",3.72,1113,77,2.72,"Mathematics"
"S00329",2.57,1405,633,3.61,"Medicine"
"S00330",3.37,1020,515,3,"Business"
"S00331",3.35,1033,549,2.79,"Mathematics"
"S00332",2.44,1270,944,3.88,"Computer Science"
"S00333",2.07,1156,659,3.02,"Mathematics"
"S00334",2.82,1596,92,2.93,"Law"
"S00335",2.58,1079,851,3.34,"Computer Science"
"S00336",3.62,947,785,2.52,"Mathematics"
"S00337",3.6,1498,466,2.65,"Computer Science"
"S00338",2.91,918,466,3.86,"Mathematics"
"S00339",3.21,945,889,3.36,"Medicine"
"S00340",3.21,1350,599,3.65,"Engineering"
"S00341",3.65,955,40,2.54,"Medicine"
"S00342",2.85,1556,690,3.09,"Arts"
"S00343",2.55,991,329,3.94,"Mathematics"
"S00344",2.53,981,285,2.64,"Business"
"S00345",3.07,978,947,2.32,"Computer Science"
"S00346",2.9,1561,554,3.02,"Arts"
"S00347",2.88,1182,797,2.78,"Law"
"S00348",2.18,1210,66,2.32,"Arts"
"S00349",3.44,1059,636,3.78,"Engineering"
"S00350",2.43,1215,657,3.98,"Mathematics"
"S00351",2.39,1567,632,3.14,"Computer Science"
"S00352",2.83,1055,109,3.55,"Medicine"
"S00353",2.46,1367,415,3.72,"Computer Science"
"S00354",3.17,1361,92,3.4,"Business"
"S00355",2.74,1016,368,2.09,"Computer Science"
"S00356",2.9,1565,820,2.32,"Arts"
"S00357",3.07,1263,423,2.14,"Arts"
"S00358",2.41,1530,572,2.02,"Medicine"
"S00359",2.31,1365,862,2.61,"Medicine"
"S00360",3.76,1083,739,2.78,"Medicine"
"S00361",2.87,1559,240,2.48,"Law"
"S00362",2.82,1065,435,2.13,"Mathematics"
"S00363",2.07,974,212,3.06,"Business"
"S00364",3,1171,400,2.55,"Law"
"S00365",3.11,1590,610,3.59,"Law"
"S00366",3.12,1402,526,2.02,"Law"
"S00367",3.41,1462,730,3.69,"Computer Science"
"S00368",2.35,1486,468,3.91,"Engineering"
"S00369",2.5,1555,170,3.43,"Mathematics"
"S00370",3.62,1242,819,3.47,"Computer Science"
"S00371",3.89,1599,792,3.87,"Medicine"
"S00372",2.27,1534,875,2.42,"Business"
"S00373",3,1150,210,3.99,"Law"
"S00374",2.43,1029,256,3.55,"Computer Science"
"S00375",2.12,1257,683,3.45,"Mathematics"
"S00376",2.65,1591,73,2.72,"Arts"
"S00377",2.29,1307,147,3.09,"Mathematics"
"S00378",3.42,1394,340,3.31,"Law"
"S00379",3.07,1521,317,3.24,"Mathematics"
"S00380",2.29,1381,618,3.41,"Computer Science"
"S00381",2.02,977,606,2.16,"Arts"
"S00382",3.62,1413,575,2.71,"Computer Science"
"S00383",2.35,1220,154,2.87,"Computer Science"
"S00384",3.21,1189,255,2.52,"Law"
"S00385",2.67,1196,351,2.35,"Computer Science"
"S00386",3.17,1580,547,2.28,"Medicine"
"S00387",2.63,1374,835,2.73,"Mathematics"
"S00388",2.17,922,312,2.99,"Arts"
"S00389",2.45,1071,808,2.13,"Business"
"S00390",2.38,1217,765,3.89,"Engineering"
"S00391",2.86,1092,669,3.53,"Mathematics"
"S00392",3.32,1580,134,3.46,"Law"
"S00393",2.53,1017,948,2.35,"Arts"
"S00394",2.02,905,129,3.21,"Medicine"
"S00395",3.04,1382,436,3.06,"Arts"
"S00396",3.21,1031,280,3.96,"Business"
"S00397",3.93,992,358,3.5,"Law"
"S00398",3.18,1421,930,3.15,"Arts"
"S00399",2.94,1462,883,3.7,"Mathematics"
"S00400",3.15,1193,252,2.31,"Medicine"
"S00401",3.86,1540,135,2.03,"Law"
"S00402",3.66,1291,843,3.38,"Medicine"
"S00403",2.65,1148,523,2.2,"Law"
"S00404",2.47,1513,804,2.23,"Engineering"
"S00405",2.53,1494,660,3.49,"Business"
"S00406",3.01,1316,319,2.54,"Engineering"
"S00407",3.49,1042,80,3.26,"Mathematics"
"S00408",3.01,1136,191,3.83,"Mathematics"
"S00409",2.14,1186,453,2.63,"Mathematics"
"S00410",3.45,1176,344,2.43,"Computer Science"
"S00411",3.61,1286,30,2.21,"Mathematics"
"S00412",2.58,1281,414,2.26,"Medicine"
"S00413",3.33,1349,871,2.12,"Engineering"
"S00414",2.85,1190,368,2.18,"Medicine"
"S00415",3.78,1068,741,2.86,"Law"
"S00416",3.69,1342,993,2.64,"Medicine"
"S00417",3.05,1555,596,3.41,"Computer Science"
"S00418",3.38,1083,502,3.74,"Medicine"
"S00419",3.77,944,662,3.57,"Law"
"S00420",2.99,1167,873,3.06,"Law"
"S00421",2.63,1375,701,2.2,"Engineering"
"S00422",3.51,1152,21,3.42,"Mathematics"
"S00423",2.44,1295,549,2.73,"Business"
"S00424",2.78,1188,246,2.17,"Arts"
"S00425",3.73,1111,283,3.68,"Engineering"
"S00426",3.45,1588,614,2.68,"Computer Science"
"S00427",2.81,920,931,2.44,"Arts"
"S00428",2.43,1215,806,3.74,"Medicine"
"S00429",2.71,1463,232,3.8,"Engineering"
"S00430",2.57,1337,316,2.68,"Arts"
"S00431",2.35,1322,838,2.71,"Mathematics"
"S00432",3.49,1132,800,3.16,"Mathematics"
"S00433",2.5,1022,336,3.47,"Engineering"
"S00434",2.91,1511,988,2.13,"Mathematics"
"S00435",2.77,1113,976,3.19,"Medicine"
"S00436",3.96,1546,411,3.91,"Law"
"S00437",2.78,1499,245,2.52,"Engineering"
"S00438",2.16,939,387,3.82,"Computer Science"
"S00439",2.18,1231,689,3.9,"Arts"
"S00440",3.18,1547,725,2.54,"Arts"
"S00441",3.2,1081,358,3.51,"Arts"
"S00442",2.84,1164,614,2.48,"Engineering"
"S00443",2.86,1593,798,3.48,"Medicine"
"S00444",2.11,1432,22,3.59,"Engineering"
"S00445",3.03,1331,19,2.49,"Engineering"
"S00446",3.01,1095,287,3.43,"Mathematics"
"S00447",2.3,1408,276,3.62,"Law"
"S00448",2.21,1346,659,2.72,"Arts"
"S00449",2.25,1427,898,2.34,"Medicine"
"S00450",2.2,1101,552,2.18,"Business"
"S00451",3.22,1504,679,3.15,"Medicine"
"S00452",2.39,1032,603,3.96,"Mathematics"
"S00453",2.5,1038,72,3.65,"Engineering"
"S00454",2.35,1568,365,2.87,"Computer Science"
"S00455",3.92,1392,950,3.07,"Medicine"
"S00456",3.71,969,795,2.56,"Arts"
"S00457",2.46,914,335,2.33,"Computer Science"
"S00458",2.66,1111,652,2.96,"Business"
"S00459",2.42,959,751,2.93,"Business"
"S00460",2.98,1151,590,3.04,"Computer Science"
"S00461",2.04,1345,199,3.91,"Mathematics"
"S00462",3.34,901,17,3.21,"Business"
"S00463",3.05,1235,218,3.21,"Computer Science"
"S00464",3.8,918,741,2.26,"Engineering"
"S00465",2.33,1460,852,3.99,"Computer Science"
"S00466",3.61,977,650,3.55,"Engineering"
"S00467",3.58,1371,147,3.75,"Mathematics"
"S00468",2.25,927,210,2.83,"Arts"
"S00469",2.8,1459,670,3,"Arts"
"S00470",2.34,1507,414,3.04,"Business"
"S00471",2.51,1064,665,2.39,"Law"
"S00472",2.53,1357,856,3.38,"Law"
"S00473",3.11,1075,330,3.81,"Computer Science"
"S00474",2.82,1484,895,2.33,"Mathematics"
"S00475",3.9,928,962,2.17,"Engineering"
"S00476",2.25,1568,870,3.48,"Arts"
"S00477",3.95,1178,352,2.55,"Mathematics"
"S00478",2.46,1182,163,3.25,"Arts"
"S00479",3.55,1378,819,3.39,"Arts"
"S00480",2.68,1418,101,2.64,"Business"
"S00481",2.29,1204,327,3.63,"Arts"
"S00482",3.72,1593,327,3.1,"Law"
"S00483",2.62,1008,155,3.74,"Medicine"
"S00484",3.32,1223,10,3.53,"Business"
"S00485",3.13,1105,353,3.74,"Computer Science"
"S00486",2.94,1133,939,2.04,"Medicine"
"S00487",2.99,1357,183,2.49,"Business"
"S00488",3.46,1086,455,2.18,"Mathematics"
"S00489",2.18,1381,646,2.88,"Business"
"S00490",3.34,1306,6,3.78,"Engineering"
"S00491",3.79,1408,333,2.94,"Medicine"
"S00492",2.12,1419,944,3.7,"Medicine"
"S00493",2.28,952,333,2.65,"Law"
"S00494",3.43,1297,258,2.68,"Medicine"
"S00495",2.87,1098,211,3.79,"Arts"
"S00496",2.81,1290,51,2.85,"Law"
"S00497",2.27,1548,445,3.58,"Mathematics"
"S00498",3.01,1397,659,2.47,"Arts"
"S00499",2.25,1071,377,3.9,"Law"
"S00500",2.95,985,640,3.15,"Computer Science"
"S00501",3.53,1457,486,3.52,"Mathematics"
"S00502",2.52,1085,770,2.18,"Law"
"S00503",2.96,1055,51,2.99,"Computer Science"
"S00504",3.98,1392,154,3.8,"Law"
"S00505",3.37,1420,582,3.75,"Computer Science"
"S00506",3.68,1526,788,2.09,"Arts"
"S00507",2.83,1565,791,2.61,"Mathematics"
"S00508",3.54,1029,310,2.89,"Mathematics"
"S00509",2.08,980,399,2.34,"Law"
"S00510",2.25,1283,134,3.46,"Engineering"
"S00511",2.41,1558,220,2.37,"Law"
"S00512",2.8,1194,163,2.69,"Computer Science"
"S00513",3.69,1168,971,3.33,"Mathematics"
"S00514",2.69,1544,648,2.96,"Business"
"S00515",3.31,1461,569,3.48,"Arts"
"S00516",3.42,1434,502,3.92,"Engineering"
"S00517",3.17,1277,946,2.23,"Business"
"S00518",2.71,1275,689,3.42,"Business"
"S00519",3.15,987,115,2.46,"Arts"
"S00520",2.68,1523,499,2.83,"Law"
"S00521",2.17,1010,472,2.07,"Medicine"
"S00522",3.99,1483,149,2.27,"Engineering"
"S00523",2.25,1053,241,2.64,"Law"
"S00524",2.14,1362,123,2.68,"Arts"
"S00525",3.76,1468,804,3.8,"Medicine"
"S00526",2.6,1055,839,3.48,"Arts"
"S00527",3.3,1524,69,3.94,"Arts"
"S00528",2.66,1217,826,3.2,"Business"
"S00529",2.78,1458,63,2.48,"Mathematics"
"S00530",2.52,1137,733,2.66,"Law"
"S00531",2.69,1233,16,2.64,"Arts"
"S00532",2.82,1005,390,2.65,"Law"
"S00533",3.44,1381,590,3.35,"Medicine"
"S00534",3.02,1598,634,3.06,"Business"
"S00535",3.89,1570,948,2.77,"Medicine"
"S00536",2.08,1281,258,2.3,"Medicine"
"S00537",3.01,1588,217,2.04,"Business"
"S00538",3.17,1160,479,2.44,"Law"
"S00539",3.84,1192,114,2.21,"Medicine"
"S00540",2.1,1234,882,3.57,"Computer Science"
"S00541",3.15,1554,973,2.22,"Law"
"S00542",3.71,1375,380,3.45,"Mathematics"
"S00543",2.48,1124,658,2.77,"Mathematics"
"S00544",3.75,1454,977,2.15,"Arts"
"S00545",2.04,1353,237,3.63,"Business"
"S00546",3.46,1562,476,3.16,"Mathematics"
"S00547",3.87,1195,972,2.47,"Business"
"S00548",3.31,1474,931,3.79,"Law"
"S00549",2.88,1541,598,2.09,"Computer Science"
"S00550",2.09,1362,679,2.4,"Computer Science"
"S00551",3.84,1113,129,3.5,"Computer Science"
"S00552",2.94,1484,510,3.42,"Computer Science"
"S00553",2.06,1515,165,2.58,"Engineering"
"S00554",3.38,1057,277,2.12,"Business"
"S00555",2.96,1171,257,3.72,"Medicine"
"S00556",2.25,1137,132,2.63,"Business"
"S00557",2.43,1202,992,2.39,"Mathematics"
"S00558",2.13,1569,570,3.03,"Business"
"S00559",3.15,1520,257,3.82,"Business"
"S00560",3.24,1420,141,2.09,"Computer Science"
"S00561",3.01,1220,686,3.53,"Computer Science"
"S00562",3.63,958,687,3.14,"Engineering"
"S00563",3.72,1257,209,2.85,"Law"
"S00564",3.23,1547,716,3.49,"Business"
"S00565",2.03,1150,519,3.93,"Arts"
"S00566",3.39,1335,51,2.46,"Law"
"S00567",2.84,1045,503,2.29,"Mathematics"
"S00568",3.13,1251,259,3.83,"Engineering"
"S00569",3.3,1469,178,3.34,"Mathematics"
"S00570",2.7,1588,922,2.88,"Computer Science"
"S00571",3.83,1144,543,3.15,"Mathematics"
